tile_id,description,category
0,dark brown ceiling full,ceiling
1,dark brown ceiling top left,ceiling
2,dark brown ceiling top center,ceiling
3,dark brown ceiling top right,ceiling
4,dark brown ceiling bottom left,ceiling
5,dark brown ceiling bottom right,ceiling
6,wall top of colum,wall
7,wall snake fountain off,wall
8,wall snake fountain on,wall
9,small open door,door
10,large open door left,door
11,large open door right,door
12,dark brown ceiling variant 1,ceiling
13,dark brown ceiling middle left,ceiling
14,gray wall,wall
15,dark brown ceiling middle right,ceiling
16,dark brown ceiling bottom left,ceiling
17,dark brown ceiling bottom right,ceiling
18,wall middle column,wall
19,wall fountain off,wall
20,wall fountain on,wall
21,small door opening animation 2/2,door
22,large door opening animation 2/2 left,door
23,large door opening animation 2/2 right,door
24,dark brown ceiling full alternative 2 rubble,ceiling
25,dark brown ceiling bottom left,ceiling
26,dark brown ceiling bottom center,ceiling
27,dark brown ceiling bottom right,ceiling
28,wall with grates,wall
29,wall with banner,wall
30,floor with bottom of column,floor
31,bottom of empty fountain,object
32,bottom of full fountain,objecy
33,small door opening animation 1/2,door
34,large door opening animation 1/2 left,door
35,large door opening animation 2/2 right,door
36,platform stairs left,floor
37,platform stairs center,floor
38,platform stairs right,floor
39,platform stairs full,floor
40,wall full variaent,wall
41,spikes,trap
42,floor varient,floor
43,small fountain empty,floor
44,small fountain full,floor
45,small door closer,door
46,large door closed left,door
47,large door closer right,door
48,full floor,floor
49,full floor variant,floor
50,full floor shadow top,floor
51,full floor shadow top variant,floor
52,full floor shadow top right,floor
53,full floor shadow top left,floor
54,minecart sidewise,minecart
55,minecart vertical,minecart
56,minecart angled,minecart
57,wall floor to left,wall
58,wall floor both sides,wall
59,wall floor to right,wall
60,ignore,ignore
61,ignore,ignore
62,ignore,ignore
63,crate,object
64,graveyard cross,object
65,gravestone,object
66,table,object
67,minecart rails start top,rails
68,minecart rails start bottom,rails
69,minecart rails turn right from bottom,rails
70,minecart rails horizontal,rails
71,minecart rails turn left from bottom,rails
72,table,object
73,stool,object
74,anvil,object
75,bookshelf,object
76,fence left,object
77,fence middle,object
78,fence right,object
79,minecart rails horizontal start left,rails
80,minecart rails horizontal start right,rails
81,minecart rails vertical,rails
82,barrel,object
83,minecart rails vertical,rails
84,wizard,npc
85,man1,npc
86,blacksmith,npc
87,dwarf,enemy
88,barbarian,enemy
89,chest closed,object
90,chest opening animation 1/1,object
91,chest open,object
92,mimic chest,enemy
93,minecart rails turn left from top,rails
94,minecart rails horizontal,rails
95,minecart rails turn left from top,rails
96,knight 1,player
97,knight 2,player
98,knight 3,player
99,woman,npc
100,knight female,player
101,shield wooden,items
102,shield metal,items
103,sword small,items
104,sword large,items
105,sword barbarian,items
106,sword wide,items
107,sword wooden,items
108,slime,enemy
109,cyclops,enemy
110,crab,enemy
111,dark wizard,enemy
112,elf,enemy
113,potion gray,items
114,potion green,items
115,potion red,items
116,potion blue,items
117,war hammer,items
118,battle axe,items
119,hand axe,items
120,bat,enemy
121,ghost,enemy
122,spider,enemy
123,brown rat,enemy
124,gray rat,enemy
125,gray wand,items
126,green wand,items
127,red want,items
128,blue wand,items
129,special purple wand,items
130,special blue wand,items
131,spear,items
