frame,name,role,notes
# Tilesheet: 13 columns x 8 rows, 64x64 px each
# Tile numbering: 0-based index, row-major (row * 13 + col)
# Row 0 (tiles 0-12): Crate tops and dark variants
0,crate_brown_top,crate,"Brown crate top face"
1,crate_blue_top,crate,"Blue crate top face"
2,crate_green_top,crate,"Green crate top face"
3,crate_red_top,crate,"Red crate top face"
4,crate_brown_top_alt,crate,"Brown crate top X-pattern"
5,crate_red_top_alt,crate,"Red crate top X-pattern"
6,crate_blue_top_alt,crate,"Blue crate top X-pattern"
7,crate_green_top_alt,crate,"Green crate top X-pattern"
8,wall_grey,wall,"Grey stone wall tile"
9,wall_dark,wall,"Dark grey wall tile"
10,wall_black,wall,"Black wall tile"
11,target_orange,target,"Orange diamond target marker"
12,target_brown,target,"Brown diamond target marker"
# Row 1 (tiles 13-25): Crate fronts and more variants
13,crate_brown_front,crate,"Brown crate front face"
14,crate_blue_front,crate,"Blue crate front face - primary game crate"
15,crate_green_front,crate,"Green crate front face"
16,crate_red_front,crate,"Red crate front face"
17,crate_brown_front_alt,crate,"Brown crate front X-pattern"
18,crate_red_front_alt,crate,"Red crate front X-pattern"
19,crate_blue_front_alt,crate,"Blue crate front X-pattern"
20,crate_green_front_alt,crate,"Green crate front X-pattern"
21,wall_grey_alt,wall,"Grey wall variant"
22,wall_dark_alt,wall,"Dark wall variant"
23,target_red,target,"Red diamond target marker"
24,target_blue,target,"Blue diamond target marker"
# Row 2 (tiles 26-38): Small crate variants + solved indicators
26,crate_brown_small,crate_solved,"Brown small crate - solved state indicator"
27,crate_red_small,crate_solved,"Red small crate - solved state"
28,crate_blue_small,crate_solved,"Blue small crate - solved state"
29,crate_green_small,crate_solved,"Green small crate - solved state"
30,crate_grey_small,crate_solved,"Grey small crate - solved state"
31,crate_red_dark,crate,"Red dark crate variant"
32,crate_blue_dark,crate,"Blue dark crate variant"
33,crate_green_dark,crate,"Green dark crate variant"
34,crate_brown_dark,crate,"Brown dark crate variant"
35,wall_grey_front,wall,"Grey wall front face"
36,target_green,target,"Green diamond target marker"
37,target_grey,target,"Grey diamond target marker"
38,target_cyan,target,"Cyan diamond target marker"
# Row 3 (tiles 39-51): More crate color variants
39,crate_brown_alt2,crate,"Brown crate variant"
40,crate_red_alt2,crate,"Red crate variant"
41,crate_blue_alt2,crate,"Blue crate variant"
42,crate_green_alt2,crate,"Green crate variant"
43,crate_brown_dark2,crate,"Brown dark crate"
44,crate_red_dark2,crate,"Red dark crate"
45,crate_blue_dark2,crate,"Blue dark crate"
46,crate_green_dark2,crate,"Green dark crate"
# Row 4 (tiles 52-64): Player sprites facing down
52,player_down_1,player,"Player facing down frame 1"
53,player_down_2,player,"Player facing down frame 2"
54,player_down_3,player,"Player facing down frame 3"
55,player_down_4,player,"Player facing down frame 4"
56,player_down_5,player,"Player facing down frame 5"
57,player_down_6,player,"Player facing down frame 6"
58,player_down_7,player,"Player facing down frame 7"
59,player_face,player,"Player face closeup"
60,player_face_dark,player,"Player face dark variant"
61,coin_silver,pickup,"Silver coin"
62,coin_gold,pickup,"Gold coin"
# Row 5 (tiles 65-77): Player sprites facing left/up
65,player_left_1,player,"Player facing left frame 1"
66,player_left_2,player,"Player facing left frame 2"
67,player_left_3,player,"Player facing left frame 3"
68,player_left_4,player,"Player facing left frame 4"
69,player_left_5,player,"Player facing left frame 5"
70,player_left_6,player,"Player facing left frame 6"
71,player_left_7,player,"Player facing left frame 7"
72,floor_brick_red,floor,"Red brick floor tile"
73,floor_brick_red_alt,floor,"Red brick floor variant"
74,floor_grey,floor,"Grey stone floor tile"
75,floor_green,floor,"Green floor tile"
76,floor_brown,floor,"Brown/dirt floor tile"
77,floor_sand,floor,"Sand/beige floor tile - NEEDS_REVIEW"
# Row 6 (tiles 78-90): Player sprites facing up/right
78,player_up_1,player,"Player facing up frame 1"
79,player_up_2,player,"Player facing up frame 2"
80,player_up_3,player,"Player facing up frame 3"
81,player_up_4,player,"Player facing up frame 4"
82,player_up_5,player,"Player facing up frame 5"
83,player_up_6,player,"Player facing up frame 6"
# Row 7 (tiles 91-103): Player right sprites and more floors
91,player_right_1,player,"Player facing right frame 1"
92,player_right_2,player,"Player facing right frame 2"
93,player_right_3,player,"Player facing right frame 3"
94,player_right_4,player,"Player facing right frame 4"
95,player_right_5,player,"Player facing right frame 5"
96,player_right_6,player,"Player facing right frame 6"
