frame,name,role,notes
# Player ships (3 designs x multiple colors + damage states)
playerShip1_blue,player_ship1_blue,player,"Main player ship design 1 blue, 99x75"
playerShip1_green,player_ship1_green,player,"Player ship design 1 green"
playerShip1_orange,player_ship1_orange,player,"Player ship design 1 orange"
playerShip1_red,player_ship1_red,player,"Player ship design 1 red"
playerShip1_damage1,player_ship1_dmg1,player_damage,"Ship 1 light damage"
playerShip1_damage2,player_ship1_dmg2,player_damage,"Ship 1 medium damage"
playerShip1_damage3,player_ship1_dmg3,player_damage,"Ship 1 heavy damage"
playerShip2_blue,player_ship2_blue,player,"Player ship design 2 blue, 112x75"
playerShip2_green,player_ship2_green,player,"Player ship design 2 green"
playerShip2_orange,player_ship2_orange,player,"Player ship design 2 orange"
playerShip2_red,player_ship2_red,player,"Player ship design 2 red"
playerShip2_damage1,player_ship2_dmg1,player_damage,"Ship 2 light damage"
playerShip2_damage2,player_ship2_dmg2,player_damage,"Ship 2 medium damage"
playerShip2_damage3,player_ship2_dmg3,player_damage,"Ship 2 heavy damage"
playerShip3_blue,player_ship3_blue,player,"Player ship design 3 blue, 98x75"
playerShip3_green,player_ship3_green,player,"Player ship design 3 green"
playerShip3_orange,player_ship3_orange,player,"Player ship design 3 orange"
playerShip3_red,player_ship3_red,player,"Player ship design 3 red"
playerShip3_damage1,player_ship3_dmg1,player_damage,"Ship 3 light damage"
playerShip3_damage2,player_ship3_dmg2,player_damage,"Ship 3 medium damage"
playerShip3_damage3,player_ship3_dmg3,player_damage,"Ship 3 heavy damage"
# Enemy ships (5 designs x 4 colors)
enemyBlack1,enemy_black_1,enemy,"Black enemy ship type 1, 93x84 - basic enemy"
enemyBlack2,enemy_black_2,enemy,"Black enemy type 2, 104x84 - weaver"
enemyBlack3,enemy_black_3,enemy,"Black enemy type 3, 103x84 - bomber"
enemyBlack4,enemy_black_4,enemy,"Black enemy type 4, 82x84"
enemyBlack5,enemy_black_5,enemy,"Black enemy type 5, 97x84"
enemyBlue1,enemy_blue_1,enemy,"Blue enemy type 1, 93x84"
enemyBlue2,enemy_blue_2,enemy,"Blue enemy type 2, 104x84"
enemyBlue3,enemy_blue_3,enemy,"Blue enemy type 3, 103x84"
enemyBlue4,enemy_blue_4,enemy,"Blue enemy type 4, 82x84"
enemyBlue5,enemy_blue_5,enemy,"Blue enemy type 5, 97x84"
enemyGreen1,enemy_green_1,enemy,"Green enemy type 1, 93x84"
enemyGreen2,enemy_green_2,enemy,"Green enemy type 2, 104x84"
enemyGreen3,enemy_green_3,enemy,"Green enemy type 3, 103x84"
enemyGreen4,enemy_green_4,enemy,"Green enemy type 4, 82x84"
enemyGreen5,enemy_green_5,enemy,"Green enemy type 5, 97x84"
enemyRed1,enemy_red_1,enemy,"Red enemy type 1, 93x84"
enemyRed2,enemy_red_2,enemy,"Red enemy type 2, 104x84"
enemyRed3,enemy_red_3,enemy,"Red enemy type 3, 103x84"
enemyRed4,enemy_red_4,enemy,"Red enemy type 4, 82x84"
enemyRed5,enemy_red_5,enemy,"Red enemy type 5, 97x84"
# UFOs (boss candidates - 4 colors, 91x91 = larger than normal enemies)
ufoBlue,ufo_blue,boss,"Blue UFO, 91x91 - boss ship candidate"
ufoGreen,ufo_green,boss,"Green UFO, 91x91"
ufoRed,ufo_red,boss,"Red UFO, 91x91"
ufoYellow,ufo_yellow,boss,"Yellow UFO, 91x91"
# Player lasers (blue = player bullets)
laserBlue01,laser_blue_thin_long,bullet_player,"Blue laser thin, 9x54"
laserBlue02,laser_blue_med_short,bullet_player,"Blue laser medium, 13x37"
laserBlue03,laser_blue_thin_short,bullet_player,"Blue laser thin short, 9x37"
laserBlue08,laser_blue_ball_large,bullet_player,"Blue laser ball, 48x46"
laserBlue09,laser_blue_ball_large_alt,bullet_player,"Blue laser ball alt, 48x46"
laserBlue10,laser_blue_ball_small,bullet_player,"Blue laser ball small, 37x37"
laserBlue12,laser_blue_med_long,bullet_player,"Blue laser medium long, 13x57"
laserBlue16,laser_blue_beam,bullet_player,"Blue laser beam, 13x54"
# Enemy lasers (red = enemy bullets)
laserRed01,laser_red_thin_long,bullet_enemy,"Red laser thin, 9x54"
laserRed02,laser_red_med_short,bullet_enemy,"Red laser medium, 13x37"
laserRed08,laser_red_ball_large,bullet_enemy,"Red laser ball, 48x46"
laserRed12,laser_red_med_long,bullet_enemy,"Red laser medium long, 13x57"
laserRed16,laser_red_beam,bullet_enemy,"Red laser beam, 13x54"
# Green lasers (spread shot powerup variant)
laserGreen01,laser_green_ball,bullet_spread,"Green laser ball, 37x38"
laserGreen02,laser_green_med_long,bullet_spread,"Green laser medium, 13x57"
laserGreen10,laser_green_beam,bullet_spread,"Green laser beam, 13x54"
laserGreen14,laser_green_ball_large,bullet_spread,"Green laser ball large, 48x46"
# Beams (alternative bullet sprites)
beam0,beam_wide_1,bullet_player,"Wide beam, 43x31"
beam1,beam_wide_2,bullet_player,"Wide beam, 40x20"
beam4,beam_wide_3,bullet_player,"Wide beam, 41x17"
beamLong1,beam_long_thin,bullet_player,"Long thin beam, 15x67"
beamLong2,beam_long_wide,bullet_player,"Long wide beam, 25x64"
# Meteors - brown
meteorBrown_big1,meteor_brown_big1,meteor,"Brown meteor big, 101x84"
meteorBrown_big2,meteor_brown_big2,meteor,"Brown meteor big, 120x98"
meteorBrown_big3,meteor_brown_big3,meteor,"Brown meteor big, 89x82"
meteorBrown_big4,meteor_brown_big4,meteor,"Brown meteor big, 98x96"
meteorBrown_med1,meteor_brown_med1,meteor,"Brown meteor medium, 43x43"
meteorBrown_med3,meteor_brown_med3,meteor,"Brown meteor medium, 45x40"
meteorBrown_small1,meteor_brown_small1,meteor,"Brown meteor small, 28x28"
meteorBrown_small2,meteor_brown_small2,meteor,"Brown meteor small, 29x26"
meteorBrown_tiny1,meteor_brown_tiny1,meteor,"Brown meteor tiny, 18x18"
meteorBrown_tiny2,meteor_brown_tiny2,meteor,"Brown meteor tiny, 16x15"
# Meteors - grey
