frame,name,role,notes
# Tilesheet: 23 columns x 13 rows, 64x64 px each, tiles numbered 1-299 (1-indexed)
# Row 0 (tiles 1-23): Terrain transitions top row
1,terrain_grass_dirt_tl,terrain,"Grass-to-dirt transition top-left corner"
2,terrain_dirt_full,terrain,"Full dirt tile"
3,terrain_dirt_full_alt,terrain,"Full dirt tile variant"
4,terrain_dirt_grass_tr,terrain,"Dirt-to-grass transition top-right"
5,terrain_grass_sand_tl,terrain,"Grass-to-sand transition top-left"
6,terrain_sand_full,terrain,"Full sand tile"
7,terrain_sand_full_alt,terrain,"Full sand tile variant"
8,terrain_sand_grass_tr,terrain,"Sand-to-grass transition top-right"
9,terrain_grass_grey_tl,terrain,"Grass-to-grey transition top-left"
10,terrain_grey_full,terrain,"Full grey/stone tile"
11,terrain_grey_full_alt,terrain,"Full grey tile variant"
12,terrain_grey_grass_tr,terrain,"Grey-to-grass transition top-right"
13,terrain_grass_full,terrain,"Full grass tile"
14,terrain_grass_variant,terrain,"Grass tile variant"
15,terrain_grass_light,terrain,"Light grass tile"
16,terrain_grass_dark,terrain,"Dark grass tile"
# Right side row 0 (tiles 17-23): Small terrain/path pieces
17,path_straight_h,path,"Horizontal path segment"
18,path_straight_v,path,"Vertical path segment"
19,path_corner_tl,path,"Path corner top-left"
20,path_corner_tr,path,"Path corner top-right"
21,path_corner_bl,path,"Path corner bottom-left"
22,path_corner_br,path,"Path corner bottom-right"
23,path_cross,path,"Path crossroads"
# Row 1 (tiles 24-46): More terrain transitions
24,terrain_grass_full_2,terrain,"Full grass tile (row 1)"
25,terrain_grass_dirt_l,terrain,"Grass-dirt transition left"
26,terrain_dirt_center,terrain,"Dirt center tile"
27,terrain_grass_dirt_r,terrain,"Grass-dirt transition right"
28,terrain_grass_sand_l,terrain,"Grass-sand transition left"
29,terrain_sand_center,terrain,"Sand center tile"
30,terrain_sand_grass_r,terrain,"Sand-grass transition right"
31,terrain_grass_grey_l,terrain,"Grass-grey transition left"
32,terrain_grey_center,terrain,"Grey center tile"
33,terrain_grey_grass_r,terrain,"Grey-grass transition right"
# Right side row 1 (tiles 40-46): More path/road pieces
40,path_t_up,path,"Path T-junction upward"
41,path_t_down,path,"Path T-junction downward"
42,path_t_left,path,"Path T-junction left"
43,path_t_right,path,"Path T-junction right"
44,path_end_top,path,"Path end cap top"
45,path_end_bottom,path,"Path end cap bottom"
46,path_end_left,path,"Path end cap left"
# Row 2-5: More terrain transitions (dirt/sand/grey bottom edges and inner variants)
47,terrain_grass_dirt_bl,terrain,"Grass-dirt transition bottom-left"
48,terrain_dirt_bottom,terrain,"Dirt bottom edge"
49,terrain_dirt_bottom_alt,terrain,"Dirt bottom variant"
50,terrain_grass_dirt_br,terrain,"Grass-dirt transition bottom-right"
70,terrain_grass_inner_tl,terrain,"Grass inner corner top-left"
71,terrain_grass_inner_tr,terrain,"Grass inner corner top-right"
93,terrain_grass_inner_bl,terrain,"Grass inner bottom-left"
94,terrain_grass_inner_br,terrain,"Grass inner bottom-right"
# Row 8-9 right side: Tower bases and turrets
203,tower_base_small,tower,"Small tower base platform (grey)"
204,turret_gun_small,turret,"Small gun turret - arrow tower"
205,turret_gun_double,turret,"Double gun turret - cannon tower"
206,turret_rocket,turret,"Rocket turret - heavy tower"
226,tower_base_cross,tower,"Cross-shaped tower base"
227,tower_base_square,tower,"Square tower base"
228,tower_base_round,tower,"Round tower base - main tower platform"
229,tower_base_pentagon,tower,"Pentagon tower base"
# Row 10-11 right side: Enemies and items
245,enemy_bug_green,enemy,"Green bug enemy - basic creep"
246,enemy_bug_blue,enemy,"Blue bug enemy - NEEDS_REVIEW"
247,enemy_bug_orange,enemy,"Orange bug enemy - fast creep"
248,enemy_bug_grey,enemy,"Grey bug enemy - tank creep"
249,turret_green,turret,"Green turret - slow tower"
250,turret_red,turret,"Red turret - fire tower"
251,projectile_rocket,projectile,"Rocket projectile"
252,projectile_rocket_large,projectile,"Large rocket projectile"
269,item_crate,ui,"Supply crate"
270,airplane_green,enemy,"Green airplane enemy"
271,airplane_grey,enemy,"Grey airplane enemy"
272,coin_gold,ui,"Gold coin - currency indicator"
# Row 12 (tiles 277-299): Numbers, UI, effects
277,numeral_0,ui,"Number 0"
278,numeral_1,ui,"Number 1"
279,numeral_2,ui,"Number 2"
280,numeral_3,ui,"Number 3"
281,numeral_4,ui,"Number 4"
282,numeral_5,ui,"Number 5"
283,numeral_6,ui,"Number 6"
284,numeral_7,ui,"Number 7"
285,numeral_8,ui,"Number 8"
286,numeral_9,ui,"Number 9"
291,tower_base_occupied,tower,"Tower base with occupant indicator"
292,item_shovel,ui,"Shovel item"
293,airplane_grey_alt,enemy,"Grey airplane variant"
294,airplane_grey_side,enemy,"Grey airplane side view"
295,effect_fire_small,projectile,"Small fire effect"
296,effect_fire_medium,projectile,"Medium fire effect"
297,effect_arrow,projectile,"Arrow projectile"
298,effect_fire_large,projectile,"Large fire/explosion effect"
299,terrain_grass_corner,terrain,"Grass corner piece"
# Key terrain tiles for map building
34,terrain_grass_circle_green,terrain,"Grass with green circle"
35,terrain_grass_circle_brown,terrain,"Grass with brown circle"
57,terrain_sand_circle_brown,terrain,"Sand with brown circle"
80,terrain_grey_circle,terrain,"Grey with circle"
# Water/river tiles
180,water_full,terrain,"Water tile - full"
181,water_edge_top,terrain,"Water edge top"
182,water_edge_bottom,terrain,"Water edge bottom"
183,water_corner_tl,terrain,"Water corner top-left"
